"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"1",0.679359438072153,-0.138978337095055,0.0770303669735189,0.128560767235055,0.0887346576085722
"2",0.00804144649758897,0.022498543645956,-0.0430406608021073,0.103577448031866,-0.121870083295748
"3",0.515888058449294,1.20489541049771,0.268805036414938,-0.253169966027424,-0.0297001811965464
"4",0.370159320244828,1.22944161192031,0.306283723179246,-0.0463318936005385,0.09928055998625
"5",0.336976637917306,1.22330942888236,0.333954961259336,0.00117550248950312,0.116886791252649
"6",-0.112371271620171,-0.103601233084628,0.244823228446165,-0.0782174328611175,0.0889005977776482
"7",-0.0918990692759869,0.0544080277864849,0.0102592493335377,0.327448238531194,-0.0558431580450769
"8",-0.0887886723363965,0.0296440347726305,-0.294355180197226,-0.00110816659498115,-0.0487868235975265
"9",-0.0362717962527429,0.0174386463348592,-0.305463883838185,-0.191711280160737,-0.113341116075774
"10",-0.0501649669096285,-0.12931158885557,0.204126927519909,-0.211756701817497,0.0843653458863668
"11",-0.100050907186601,-0.00693366338289576,0.0148554374353912,0.216982168629572,0.0153748084933497
"12",-0.1005770991467,0.0399599463940972,0.0032896914924141,0.32269949393674,-0.0589732422302201
"13",0.0215314339873603,-0.23858311958736,0.510378048234622,-0.0422884314174704,-0.220217258505615
"14",-0.0995677834296491,0.0416201457934233,0.00202544864027067,0.319483531551033,-0.0562905018765819
"15",-0.0504884627544515,0.0338247761062244,-0.284935306667002,-0.176169621117423,-0.103850716524597
"16",-0.0806051841376046,0.0792681230176018,-0.14673756465556,0.244791398522144,-0.09978350864146
"17",-0.0995677834296439,0.0416201457934381,0.00202544864022368,0.319483531551024,-0.0562905018766114
"18",-0.0749129935482524,-0.0419207224637844,0.00100647329758514,-0.0202749062281538,0.161425664956831
"19",-0.0709710013570592,-0.0470715421782157,0.0902273398252293,-0.145722171830417,-0.141441014549554
"20",-0.134321687376742,0.107745035741115,-0.140638444320958,0.248584115224536,-0.129143890518523
"21",-0.0464027268824936,0.016729236004098,-0.052223328053956,-0.148161968535001,-0.194207738081688
"22",-0.108331023995148,-0.0550256187169128,-0.0276010845961546,0.0212114037237486,0.136996054925966
